Latitude,Longitude,Adult Arrival Date
32.5814708,-81.5058883,2/9/21
28.1687278,-80.6867635,2/10/21
30.7106624,-86.7495733,2/10/21
33.0785434,-96.6628306,2/10/21
31.4582767,-86.4111987,2/10/21
30.881299,-88.6541933,2/10/21
30.4640715,-90.5093551,2/10/21
29.249299,-97.950975,2/10/21
32.2033783,-82.5043493,2/10/21
31.3473587,-85.7623062,2/10/21
33.7366233,-90.7360179,2/10/21
27.8285202,-82.7259262,2/10/21
29.040284,-95.4155958,2/10/21
30.524678,-90.5829426,2/10/21
32.243727,-90.504914,2/10/21
32.655723,-84.167167,2/10/21
33.5230853,-82.449684,2/10/21
32.301063,-89.979234,2/10/21
31.8221294,-90.3163059,2/10/21
32.687087,-86.196177,2/10/21
33.429813,-81.7043489,2/10/21
28.0992042,-97.2062441,2/10/21
33.0399431,-84.3884734,2/10/21
33.6646169,-92.0323985,2/10/21
30.501728,-90.9933597,2/10/21
30.1088265,-94.184407,2/10/21
29.2370528,-89.9869408,2/10/21
32.2022686,-96.0931322,2/10/21
34.599872,-78.834624,2/10/21
32.6149626,-97.1689458,2/10/21
29.948818,-90.4113377,2/10/21
30.4076511,-86.7961002,2/10/21
32.3647265,-90.0179631,2/10/21
30.892473,-94.0450721,2/10/21
34.2284325,-86.2308757,2/10/21
31.0547895,-97.6655141,2/11/21
33.035617,-79.629591,2/11/21
32.2661653,-81.3718328,2/11/21
30.4294494,-88.9533002,2/11/21
33.4194756,-90.8956932,2/11/21
34.0516903,-80.9356656,2/11/21
26.9166618,-80.1907757,2/11/21
31.1273844,-90.5673077,2/11/21
30.6296377,-81.5123664,2/11/21
30.415906,-86.809699,2/11/21
31.0992074,-83.437373,2/11/21
34.0562829,-80.931034,2/11/21
32.2971098,-81.4155953,2/11/21
33.4502145,-86.2866535,2/12/21
29.5602455,-98.6536774,2/12/21
32.8117267,-83.8459308,2/12/21
32.4722035,-83.804212,2/12/21
30.3770427,-95.6155901,2/12/21
33.1958483,-81.3864786,2/12/21
30.215426,-83.011236,2/12/21
29.6476723,-92.4588403,2/12/21
26.0966674,-80.2872481,2/12/21
34.1301579,-79.9892668,2/12/21
31.465701,-98.567443,2/12/21
33.1180598,-96.6216245,2/12/21
31.485517,-87.9765221,2/12/21
30.6187907,-97.8021915,2/12/21
32.7299018,-95.8110373,2/12/21
30.0632515,-97.919943,2/13/21
31.28975,-92.611918,2/13/21
32.441618,-99.8514285,2/13/21
29.4747819,-95.519112,2/13/21
35.3230113,-77.9317201,2/13/21
32.042301,-95.9924423,2/14/21
34.6938928,-80.0929193,2/14/21
29.1565698,-90.1823908,2/14/21
30.0069592,-95.2886624,2/14/21
33.563128,-81.9696326,2/14/21
27.8767367,-97.3985855,2/15/21
32.466442,-81.607251,2/15/21
32.6632383,-79.9264985,2/15/21
29.7209307,-95.3082288,2/15/21
33.7190992,-79.4645627,2/16/21
30.2522242,-88.1247368,2/16/21
30.34574,-85.8868017,2/16/21
30.1113531,-81.8618108,2/16/21
34.0364855,-81.9409133,2/17/21
34.780087,-83.002269,2/17/21
29.8035454,-84.7385691,2/17/21
34.6292193,-86.5777274,2/17/21
35.56592,-80.215206,2/17/21
30.5527076,-89.2143956,2/17/21
35.4057819,-77.7740174,2/17/21
26.5521106,-97.434044,2/17/21
26.6672428,-81.6695313,2/18/21
32.3975306,-80.6408461,2/18/21
31.152206,-82.1817513,2/18/21
32.7702094,-79.9956912,2/18/21
33.2358238,-84.6250924,2/18/21
33.3865089,-84.498462,2/18/21
25.7406494,-80.3134546,2/18/21
33.3218811,-83.3874008,2/18/21
30.336301,-83.527687,2/19/21
29.2693333,-94.8767607,2/19/21
31.2344222,-89.9259093,2/19/21
34.4900422,-85.8904941,2/19/21
25.9374154,-97.5163693,2/19/21
30.3161182,-85.607888,2/19/21
32.9029189,-87.680326,2/20/21
31.9638212,-88.8098847,2/20/21
35.0518733,-81.4258963,2/20/21
33.1179169,-88.5588906,2/20/21
34.3685627,-86.3836614,2/20/21
33.6572698,-88.5286826,2/20/21
30.8070426,-91.2931316,2/20/21
